City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Kapaa,US,80.58,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
12,Port Blair,IN,87.84,scattered clouds,11.6667,92.75,"Welcomhotel By ITC Hotels, Bay Island, Port Blair"
13,Buluang,PH,84.31,overcast clouds,13.3068,123.3425,Sacueza Beach Resort
14,Vaini,TO,75.36,scattered clouds,-21.2,-175.2,Keleti Beach Resort
15,Souillac,MU,75.58,light rain,-20.5167,57.5167,Shanti Maurice Resort & Spa
19,Mahebourg,MU,76.24,broken clouds,-20.4081,57.7,Shandrani Beachcomber Resort & Spa
22,Coahuayana,MX,77.63,overcast clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
38,Kandrian,PG,83.1,broken clouds,-6.2167,149.55,Kandrian Station
39,Atambua,ID,79.56,overcast clouds,-9.1061,124.8925,Kost Alfa Flat
49,Ende,ID,83.62,broken clouds,-8.8432,121.6623,Dwi Putra Hotel - Ende
51,Hithadhoo,MV,81.25,overcast clouds,-0.6,73.0833,Scoop Guest House
54,Samarai,PG,81.01,few clouds,-10.6167,150.6667,Nuli Sapi
62,Saint-Philippe,RE,75.22,clear sky,-21.3585,55.7679,Le four à pain
67,Itamaraca,BR,77.05,few clouds,-7.7478,-34.8256,Special K's Bed & Breakfast
68,Bilma,NE,89.51,clear sky,18.6853,12.9164,Expeditions Ténére voyages
70,Hohhot,CN,89.89,clear sky,40.8106,111.6522,Sheraton Hohhot Hotel
72,The Valley,AI,82.09,overcast clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
73,Novopokrovka,UA,78.28,overcast clouds,49.8425,36.5477,Пудж дом
80,Bengkulu,ID,84.52,overcast clouds,-3.8004,102.2655,Grage Hotel Bengkulu
85,Tura,IN,75.4,overcast clouds,25.5198,90.2201,Hotel RIKMAN Continental
86,Ambulu,ID,83.97,overcast clouds,-8.345,113.6058,Hotel Ambulu Jember
87,Saint George,US,81.63,clear sky,37.1041,-113.5841,Best Western Plus Abbey Inn
88,Awbari,LY,85.33,clear sky,26.5921,12.7805,فندق أوباري
92,Catalina Foothills,US,79.41,clear sky,32.2979,-110.9187,The Westin La Paloma Resort & Spa
98,Jinchang,CN,84.56,broken clouds,38.4953,102.1739,Mingshihui Jinchang International Hotel
100,Atuona,PF,77.23,clear sky,-9.8,-139.0333,Villa Enata
113,Salinopolis,BR,77.85,overcast clouds,-0.6136,-47.3561,Salinas Park Resort Maçarico AP101
114,Bathsheba,BB,81.21,scattered clouds,13.2167,-59.5167,Atlantis Hotel
115,Cayenne,GF,77.09,scattered clouds,4.9333,-52.3333,Hôtel Le Dronmi
116,Karratha,AU,77.63,few clouds,-20.7377,116.8463,ibis Styles Karratha
121,Ahuimanu,US,78.51,few clouds,21.4447,-157.8378,Paradise Bay Resort
123,Tarsus,TR,86.38,clear sky,36.9188,34.8784,Osmanli Marco Pasha Hotel
128,Bonthe,SL,76.71,overcast clouds,7.5264,-12.505,Bonthe Holiday Village
129,Tahoua,NE,75.18,few clouds,14.8888,5.2692,Bungalows Guesthouse
131,Georgiyevka,KZ,87.84,clear sky,43.0369,74.7114,Gostinitsa Imperiya
133,Butaritari,KI,82.11,few clouds,3.0707,172.7902,Isles Sunset Lodge
134,Galle,LK,78.94,moderate rain,6.0367,80.217,Amangalla
135,Pekalongan,ID,88.02,scattered clouds,-6.8886,109.6753,Hotel Sahid Mandarin Pekalongan
137,Samarkand,UZ,87.22,broken clouds,39.6542,66.9597,Ideal Hotel
139,Juegang,CN,87.58,broken clouds,32.3174,121.1855,Rudong Y Hotel
144,Kavieng,PG,84.18,overcast clouds,-2.5744,150.7967,Nusa Island Retreat
145,Fare,PF,78.44,broken clouds,-16.7,-151.0167,Maitai Lapita Village Huahine
151,Ouesso,CG,76.71,scattered clouds,1.6136,16.0517,ABENIE Hotel
152,Alim,PH,83.32,heavy intensity rain,9.5649,122.4876,Eden Island Resort and Spa
156,Luganville,VU,77.45,clear sky,-15.5333,167.1667,The Espiritu Hotel
158,Lamont,US,89.08,broken clouds,35.2597,-118.9143,Buena Vista Mobile Home Park
159,Singaraja,ID,82.94,overcast clouds,-8.112,115.0882,Puri Bagus Lovina Resort
161,Faya,SA,78.91,scattered clouds,18.3851,42.4509,املاك خالد الشعشوع
162,Pandan,PH,83.43,overcast clouds,14.0453,124.1694,Bonifacio Lodge
168,Bremerton,US,76.46,clear sky,47.5673,-122.6326,Hampton Inn & Suites Bremerton
173,Solnechnyy,RU,79.72,light rain,50.7214,136.6319,Hotel complex Pastoral
176,Utete,TZ,81.77,scattered clouds,-7.986,38.758,River View Lodge
177,Kuytun,RU,79.65,scattered clouds,54.3419,101.5036,Gostinitsa Tsentral'naya
182,Twentynine Palms,US,85.05,few clouds,34.1356,-116.0542,"Holiday Inn Express & Suites Twentynine Palms- Joshua Tree, an IHG Hotel"
184,Bambous Virieux,MU,75.45,light rain,-20.3428,57.7575,Casa Tia Villa
185,San Joaquin,US,75.11,clear sky,37.9333,-121.3011,University Plaza Waterfront Hotel
191,Pauini,BR,75.94,overcast clouds,-7.7136,-66.9764,Casa do Kiwliks
192,Mersing,MY,89.51,scattered clouds,2.4312,103.8405,Timotel Hotel
193,Yenotayevka,RU,87.26,clear sky,47.2456,47.0281,Hotel Voyage
195,Alyangula,AU,77.5,overcast clouds,-13.8483,136.4192,Groote Eylandt Lodge
199,Salalah,OM,78.89,broken clouds,17.0151,54.0924,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
201,Dzaoudzi,YT,80.49,scattered clouds,-12.7887,45.2699,Le Rocher
204,Puerto Escondido,MX,78.35,overcast clouds,15.85,-97.0667,Aldea del Bazar Hotel and Spa
205,Tateyama,JP,88.11,overcast clouds,34.9833,139.8667,Tateyama Seaside Hotel
206,Morgan City,US,78.03,few clouds,29.6994,-91.2068,Hampton Inn & Suites Morgan City
207,Sadasivpet,IN,86.34,overcast clouds,17.6212,77.9503,Anantha sai medical & General store
210,Cabo San Lucas,MX,83.52,overcast clouds,22.8909,-109.9124,Hotel Tesoro Los Cabos
211,Sinnamary,GF,76.59,scattered clouds,5.3833,-52.95,ALETHEIA Appartement Sinnamary
212,Porto Novo,BJ,75.02,light rain,6.4965,2.6036,Tour Eiffel Hotel Benin
215,Woodward,US,79.72,clear sky,36.4337,-99.3904,"Holiday Inn Express & Suites Woodward Hwy 270, an IHG Hotel"
216,Candolim,IN,83.07,overcast clouds,15.5181,73.7626,Resort Terra Paraiso
219,Fukue,JP,82.76,scattered clouds,32.6881,128.8419,Goto Guesthouse Utojuku & SA Car Rental
220,Kongolo,CD,79.84,clear sky,-5.3833,27.0,GUEST HOUSE OASIS
222,Iralaya,HN,80.17,few clouds,15.0,-83.2333,Iglesia morava renovada
226,Ninghai,CN,86.99,light rain,29.2892,121.4247,Kaiyuan New Century Hotel
230,Port Hueneme,US,80.24,broken clouds,34.1478,-119.1951,Hampton Inn Channel Islands Harbor
231,Shache,CN,84.04,overcast clouds,38.4167,77.2406,Delong Hotel
239,Faanui,PF,78.37,light rain,-16.4833,-151.75,Bora-Bora Pearl Beach Resort & Spa
240,Klyuchi,RU,79.84,broken clouds,52.2667,79.1667,Vesolaya Mayovka
242,Neiafu,TO,78.42,scattered clouds,-18.65,-173.9833,Mystic Sands Beachfront Accommodation
245,Galesong,ID,87.82,broken clouds,-5.3166,119.3661,Sapriadi Appy
246,Cockburn Town,TC,82.29,broken clouds,21.4612,-71.1419,Osprey Beach Hotel
251,San Patricio,US,84.09,clear sky,28.017,-97.5169,"Motel 6 Sinton, TX"
257,Naze,JP,81.52,broken clouds,28.3667,129.4833,Shishime Hotel
262,Bandundu,CD,79.7,clear sky,-3.3167,17.3667,Coja Color
264,Jackson,US,84.07,clear sky,42.4165,-122.8345,Agate Village Apartments
272,Kimbe,PG,82.63,light rain,-5.5502,150.1429,Kimbe Bay Hotel
278,Urusha,RU,82.18,broken clouds,54.05,122.9,Dom Otdykha Lokomotivnykh Brigad
279,Darhan,MN,87.31,few clouds,49.4867,105.9228,Buudai Hotel
282,Aksu,CN,85.73,overcast clouds,41.1231,80.2644,Pudong Holiday Hotel
283,Shirvan,AZ,89.62,scattered clouds,39.9509,48.8994,Nəriman Nərimanov küçəsi Şirvan Azərbaycan
284,Altay,CN,81.61,broken clouds,47.8667,88.1167,Jinqiao Hotel
286,San Pedro,PH,86.36,broken clouds,14.35,121.0167,Palines Apartment and Guesthouse
291,Hambantota,LK,79.14,broken clouds,6.1241,81.1185,Bungalow 63
292,Flic En Flac,MU,75.76,scattered clouds,-20.2742,57.3631,Hilton Mauritius Resort & Spa
306,Awjilah,LY,85.53,clear sky,29.1081,21.2869,المنزل
309,Odiongan,PH,84.09,overcast clouds,12.4017,121.9919,LFH Apartelle
310,Hobyo,SO,81.43,clear sky,5.3505,48.5268,Iftin hotel hobyo
311,Colan,PA,76.01,overcast clouds,7.5873,-80.2296,El asomadero Loma Grande
316,Balikpapan,ID,81.59,light rain,-1.2675,116.8289,Swiss-Belhotel Balikpapan
324,Qingdao,CN,89.2,broken clouds,36.0986,120.3719,Le Meridien Qingdao
328,Hyderabad,IN,79.21,broken clouds,17.3753,78.4744,Hotel Fortune Residency
332,Condado,CU,76.35,scattered clouds,21.8767,-79.8403,Casa Guachinango
333,Kavaratti,IN,77.18,moderate rain,10.5669,72.642,Green leaf
334,Cotonou,BJ,75.18,broken clouds,6.3654,2.4183,Novotel Cotonou Orisha
336,Kirakira,SB,79.02,few clouds,-10.4544,161.9205,SanBiz Lodge
338,Grand Gaube,MU,75.6,scattered clouds,-20.0064,57.6608,Veranda Paul et Virginie Hotel & Spa
339,Donji Milanovac,RS,75.85,clear sky,44.4627,22.1523,Dream Tricule
343,Erzin,TR,89.02,clear sky,36.9559,36.2,Artemis Otel
