City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Cherskiy,RU,2022-08-01 07:20:14,68.75,161.3,72.75,31,21,14.5,few clouds
1,Port Alfred,ZA,2022-08-01 07:20:15,-33.5906,26.891,53.19,79,0,1.99,clear sky
2,Mayumba,GA,2022-08-01 07:20:15,-3.432,10.6554,71.94,86,57,5.73,broken clouds
3,New Norfolk,AU,2022-08-01 07:20:15,-42.7826,147.0587,47.7,86,96,3.0,moderate rain
4,Kapaa,US,2022-08-01 07:20:16,22.0752,-159.319,80.58,75,40,20.71,scattered clouds
5,Victoria,HK,2022-08-01 07:20:16,22.2855,114.1577,93.38,64,10,10.0,clear sky
6,Punta Arenas,CL,2022-08-01 07:20:17,-53.15,-70.9167,39.31,81,75,5.75,broken clouds
7,Aklavik,CA,2022-08-01 07:20:17,68.2191,-135.0107,49.75,72,100,12.12,overcast clouds
8,San Carlos Del Zulia,VE,2022-08-01 07:20:17,9.0,-71.9135,72.45,94,97,4.43,overcast clouds
9,Bowen,AU,2022-08-01 07:20:18,-20.0167,148.2333,70.34,78,100,13.22,overcast clouds
10,Hobart,AU,2022-08-01 07:15:32,-42.8794,147.3294,48.06,81,40,16.11,moderate rain
11,Ottawa,CA,2022-08-01 07:15:24,45.4112,-75.6981,66.76,86,75,4.61,broken clouds
12,Port Blair,IN,2022-08-01 07:20:19,11.6667,92.75,87.84,70,40,10.36,scattered clouds
13,Buluang,PH,2022-08-01 07:20:19,13.3068,123.3425,84.31,77,100,3.38,overcast clouds
14,Vaini,TO,2022-08-01 07:20:19,-21.2,-175.2,75.36,100,40,4.61,scattered clouds
15,Souillac,MU,2022-08-01 07:20:20,-20.5167,57.5167,75.58,69,75,16.11,light rain
16,La Rioja,ES,2022-08-01 07:20:20,42.25,-2.5,60.58,42,0,1.86,clear sky
17,Severo-Kurilsk,RU,2022-08-01 07:20:21,50.6789,156.125,55.78,76,20,5.68,few clouds
18,Caravelas,BR,2022-08-01 07:20:21,-17.7125,-39.2481,69.13,88,17,4.9,few clouds
19,Mahebourg,MU,2022-08-01 07:20:21,-20.4081,57.7,76.24,69,75,16.11,broken clouds
20,Saint-Prosper,CA,2022-08-01 07:20:22,46.2117,-70.4811,61.09,94,100,3.6,overcast clouds
21,Cape Town,ZA,2022-08-01 07:19:01,-33.9258,18.4232,55.38,70,0,6.91,clear sky
22,Coahuayana,MX,2022-08-01 07:20:22,18.7333,-103.6833,77.63,87,100,2.98,overcast clouds
23,Constitucion,CL,2022-08-01 07:16:58,-35.3333,-72.4167,48.16,91,100,8.19,overcast clouds
24,Codrington,AU,2022-08-01 07:20:23,-38.2667,141.9667,54.41,72,79,16.78,broken clouds
25,Carnarvon,AU,2022-08-01 07:20:23,-24.8667,113.6333,69.85,88,100,26.35,overcast clouds
26,San Cristobal,VE,2022-08-01 07:20:24,7.7669,-72.225,64.26,95,99,2.84,overcast clouds
27,Port Macquarie,AU,2022-08-01 07:20:24,-31.4333,152.9167,59.9,66,78,6.78,broken clouds
28,Yar-Sale,RU,2022-08-01 07:20:24,66.8333,70.8333,64.56,48,0,7.9,clear sky
29,Tuktoyaktuk,CA,2022-08-01 07:20:25,69.4541,-133.0374,47.64,82,100,6.87,overcast clouds
30,Pangnirtung,CA,2022-08-01 07:20:25,66.1451,-65.7125,46.85,89,100,2.82,overcast clouds
31,East London,ZA,2022-08-01 07:20:26,-33.0153,27.9116,54.54,62,0,5.75,clear sky
32,Brzeg Dolny,PL,2022-08-01 07:20:26,51.273,16.7082,72.07,68,100,9.17,overcast clouds
33,Rikitea,PF,2022-08-01 07:17:46,-23.1203,-134.9692,72.52,74,58,25.66,light rain
34,Ushuaia,AR,2022-08-01 07:20:26,-54.8,-68.3,38.86,93,20,2.3,few clouds
35,Castro,BR,2022-08-01 07:20:27,-24.7911,-50.0119,50.79,80,0,1.34,clear sky
36,Lethbridge,CA,2022-08-01 07:20:27,49.7,-112.8186,64.51,77,0,11.5,clear sky
37,Poum,NC,2022-08-01 07:20:28,-20.2333,164.0167,74.71,75,78,12.75,broken clouds
38,Kandrian,PG,2022-08-01 07:20:28,-6.2167,149.55,83.1,74,58,11.07,broken clouds
39,Atambua,ID,2022-08-01 07:20:28,-9.1061,124.8925,79.56,67,94,1.14,overcast clouds
40,Busselton,AU,2022-08-01 07:20:29,-33.65,115.3333,57.69,81,100,28.1,overcast clouds
41,Dingtao,CN,2022-08-01 07:20:29,35.0683,115.5625,91.53,58,58,3.18,broken clouds
42,Avarua,CK,2022-08-01 07:20:29,-21.2078,-159.775,73.45,88,20,9.22,few clouds
43,Qaanaaq,GL,2022-08-01 07:20:30,77.484,-69.3632,43.93,65,64,6.93,broken clouds
44,Bluff,NZ,2022-08-01 07:20:30,-46.6,168.3333,47.8,76,100,17.76,overcast clouds
45,Hengshui,CN,2022-08-01 07:20:31,37.7322,115.7011,93.43,49,46,6.38,scattered clouds
46,Nikolskoye,RU,2022-08-01 07:20:31,59.7035,30.7861,70.88,53,100,5.14,overcast clouds
47,Albany,US,2022-08-01 07:19:48,42.6001,-73.9662,70.23,78,93,1.57,overcast clouds
48,Tosham,IN,2022-08-01 07:22:57,28.8833,75.9167,91.67,56,32,5.73,scattered clouds
